position,text_of_post
toxic,"trump is a pig...not to slight pigs.  it's looking lke he's spend the rest of his life in and out of courtrooms defending himself.  sniffle, sniffle, sniffle, snort."
non-toxic,"tinman1957 You are confusing the trump adorers with all Americans. Where do you get the feigned outrage from, fake news. The dumb president keeps it alive with his stupid lies."
non-toxic,"The county has not demonstrated legal ownership of that land. The homeowners have, in court. How exactly is that squatting? Clown."
non-toxic,"How true, he hasn't done anything but bankrupt companies, not pay workers, not pay federal taxes, lies all the time, is a bigot& racist, insults everyone, and yea is a sexual abuser & assaults women. Worst of all he is a whiner & loser. 'For the future collapse of America & the World, Vote Trump'."
toxic,"""a plan to steal the 63-year-old’s trailer home""
.
The ultimate white-trash heist!"
non-toxic,Crazy little ship of fools.
toxic,Don't bankrupt our state with this stupid BS 21 corporate welfare garbage.  Vote these Senators out!
toxic,"Don't let the door hit you in the ass, douche bag"
toxic,"Remember those little computer babies high school girls took home and nursed to learn the real experience of having babies. They would cry all night, required feeding every few hours 24 hours every day, make wastes and required diaper changes, make them wash diapers and clothes daily, cry to make them hug, kiss, and carry them, and so on. Should restart that as a required course for all high school boys and girls. Best way to teach everybody to wear condoms or practice responsible contraception. They were invented for a good reason. Use them stupid heads."
toxic,"Pull your pants up, your stupid is showing."
toxic,"and a lefty loser makes a stupid point since the pres has the secret service, while the rest of us do not"
non-toxic,"Flagging all posts by this poser who plays the drunk indian stereotype.
Disgusting."
toxic,"You're such a delicious fool Donald, calling advisaries by derogatory names - I wonder which one will be yours if you follow through on the rhetoric and become the world's most prolific mass killer  - ""Devil Incarnate"" should suffice."
non-toxic,Vancouver is not a Canadian city anymore. It's a Chinese Protectorate. Sold lock stock and barrel to Chinese criminals. Thank your Provincial and Federal politicians.
non-toxic,"fun, fun, fun,  this is why we are fans,  good luck ducks, but not to much, go huskers!"
non-toxic,"""I've got zero idea of what you want Dog?"" Obviously! It might? Might help give you a clue if you read my original post which were addressed to Crum.

""Elizabeth Warren scares both Republicans and Democrats."" I feel 100% confident that Elizabeth [I want to be an Indian} Warren scares no one but Democrats, and for good reason. The women is certifiably a crazy nut case and phony."
non-toxic,"I maintain that Donald Trump doesn't really mean it when he denies the science behind the assertion that global warming is real and that it is man-made. We already know the man is a serial liar. I think  he's lying about this because his real interest is in lining the pockets of his billionaire buddies in the oil and gas industry, and if he were to come right out and admit that it would be seen as too crass, even for him. So he lies and claims he doesn't believe the science, which sounds more legit.

What I don't get is all the ""family values"" people who are always the first to chime in with ""but what about the children?"" not caring about climate change now. It's clear to me as a gay person that ""family values"" only ever meant ""no homo,"" but still, you'd think that conservatives really would care about the world they're leaving their children. The fact that they elected Trump tells me that they don't give a d*mn because we all knew Trump's plans before the election. Hypocrites all."
toxic,I hope it fails.  I don't want to have to pay for someone else's stupidity (even more than I do now).
toxic,"I don't celebrate Christmas, they all became homeless and had to leave, so don't be an ass to me."
non-toxic,"Attention: "" The Work Force "" and all trembling commenter folk of the land......the solution is at hand.

Do as I do and all will be well......

Be a lying phony and a hypocrite by simply......wait for it.......

Hitting the NO button everytime feedback is requested..........numerous quick pokes of the NO and yoru comment is through the ' magic censor door'.......try it, it works......if you pan everything you read in a quick and unthinking manner, all is good."
non-toxic,"Dude, why do you even bother posting? And what's with ""your J's""? I mean if you're not a Jay's fan why don't you do us all a favour and flock off. Your posts are inane anyway and you're one of those guys who thinks he knows a lot more about the game than he really does. Are you related to that other fool Niagara Resident?"
non-toxic,"Very hard to defend your position, isn't it fed_up?  It's a position that is becoming less and less popular and one that is an example of ""wrong thinking.""  Can't really defend the indefensible.  Go back and watch some of Trump's The Apprentice.  He's exactly the same.  Mean, nasty and bullheaded."
toxic,"Trump has small hands; while before the old size correlation adage was speculative we know now that's it true: His Baby Man parts are tiny - very, very tiny - too.  So tiny in fact, that they are invisible. 
Yes, Trump represents his supporters. What a pathetic bunch of bloviating losers."
toxic,"Ya know, I honestly believe he is too stupid to know he is corrupt."
non-toxic,"I wouldn't urinate on Trump if he were on fire, and most likely he does harbor the passive racism of our culture. But as far as this campaign goes, what he said in regard to illegal aliens is spot-on, and echoed by every Mexican national and legal immigrant I know (which are many). They'll flat tell you the ones hopping the border are the scum of Latin society, and they're glad to see them go.

His ideas on ""banning"" Muslims are ridiculous and unConstitutional, but, Islam is an ideology, not a race. It's a repugnant ideology at odds with our way of life and human rights in general, but people have a right to their superstitions in this country. We'll just have to do with those practicing it as prescribed by the founder on a case-by-case basis."
